APPLICATION.ID,DSA.ID,DEALER.ID,QUEUE.ID,CURRENT.STAGE,MARITAL.STATUS,GENDER,AGE,EDUCATION,RESIDENCE.TYPE,CITY,STATE,ZIP.CODE,EMPLOY.CONSTITUTION,PAN.STATUS,APPLICATION.SCORE,APPROVED.AMOUNT,APPLIED.AMOUNT,LOAN.TENOR,OWN.HOUSE.TYPE,PRIMARY.ASSET.CTG,PRIMARY.ASSET.MAKE,PRIMARY.ASSET.MODELNO,VOTER_ID,DRIVING_LICENSE,AADHAAR,PAN,BANK_PASSBOOK,APPLICATION.STATUS
25558000125,RC30190,25558,Straight  Through Process,PD_DE,Married,Male,30,POST-GRADUATE,RENTED-FLAT,BHOPAL,MADHYA PRADESH,462026,SALARIED,ERROR,104,32321,28000,10,Self Owned,REFRIGERATORS,GODREJ,RT EON 241 P 3.4 Silver meadow,F,F,F,T,F,Declined
26746000113,MP24084,26746,Straight  Through Process,PD_DE,Married,Female,49,UNDER GRADUATE,OWNED-BUNGLOW,RANIPETINDESTATE,TAMIL NADU,632403,SELF-EMPLOYED,Pan Not Submitted,13,40000,40000,12,Self Owned,PANEL - FHD SMART,VIDEOCON,VNJ42FH28S,F,F,T,F,F,Approved
26024000597,AA36752,26024,Straight  Through Process,PD_DE,Single,Male,23,GRADUATE,PARENT OWNED-HOUSE,HYDERABAD,TELANGANA,500023,SELF-EMPLOYED,ERROR,35,20000,20000,12,Parent Owned,WASHING MACHINE,WHIRLPOOL,WM ROYALE 6512SD-WINE CHROME TINTED,F,F,T,T,F,Approved
27895000114,PP53143,27895,Under.Writer,PD_DE,Single,Male,21,OTHERS,RENTED-ROWHOUSE,MADIVALA,KARNATAKA,560068,SALARIED,ERROR,13,32321,30000,10,Self Owned,HOME THEATRE,TARGET,K1110 FM,F,F,T,T,F,Declined
25561000875,AT12212,25561,Straight  Through Process,PD_DE,Single,Male,23,POST-GRADUATE,PARENT OWNED-FLAT,INDORE,MADHYA PRADESH,452010,SELF-EMPLOYED,Pan Not Submitted,68,30000,30000,10,Self Owned,AIR CONDITIONER,HAIER,AIR CONDITIONER VANILLA,F,F,T,F,F,Approved
26033000299,NA34031,26033,Straight  Through Process,PD_DE,Married,Male,41,OTHERS,OWNED-BUNGLOW,HYDERABAD,TELANGANA,500005,SELF-EMPLOYED,ERROR,8,32321,25000,12,Self Owned,REFRIGERATORS,WHIRLPOOL,REFRIGERATORS VANILLA,F,F,T,T,F,Declined
26043000243,RM54391,26043,Straight  Through Process,PD_DE,Married,Male,32,GRADUATE,RENTED-BUNGLOW,HYDERABAD,TELANGANA,500044,SELF-EMPLOYED,ERROR,47,45000,45000,12,Self Owned,AIR CONDITIONER,SAMSUNG,AR18MV5HETSNNA,F,F,T,T,F,Approved
28323000022,ES55246,28323,Straight  Through Process,PD_DE,Single,Male,24,GRADUATE,OWNED-PENTHOUSE,JALPAIGURI HO,WEST BENGAL,735101,SELF-EMPLOYED,Pan Not Submitted,13,45000,45000,18,Parent Owned,PANEL - LED,SONYNEW,KLV-32W562D IN5,F,F,T,F,F,Approved
27067000028,DN30900,27067,Straight  Through Process,PD_DE,Single,Male,36,GRADUATE,OWNED-BUNGLOW,JAMNAGAR,GUJARAT,361001,SELF-EMPLOYED,Pan Not Submitted,13,32321,30000,10,Self Owned,TELEVISION,PHILIPS,43PFL4351/V7A11,F,F,T,F,F,Declined
25536000086,VL85967,25536,Straight  Through Process,APRV,Single,Male,29,UNDER GRADUATE,RENTED-FLAT,CHENNAI,TAMIL NADU,600078,SALARIED,ERROR,13,32321,69000,12,Self Owned,PANEL - LED,SONYNEW,KDL48W608B/1IN5,T,F,T,T,F,Approved
26389000134,SJ84713,26389,Straight  Through Process,PD_DE,Married,Male,36,OTHERS,OWNED-ROWHOUSE,AHMEDABAD,GUJARAT,382210,SALARIED,ERROR,53,32321,25990,10,Self Owned,PANEL - LED,HAIER,LE42B9000,F,F,T,T,F,Declined
25062002042,LB90269,25062,Straight  Through Process,APRV,Married,Male,34,OTHERS,OWNED-CHAWL,COIMBATORE,TAMIL NADU,641009,SALARIED,ERROR,61,32321,100000,24,Self Owned,PANEL - LED,LG,32LN4900,F,F,F,T,F,Approved
28241000062,MC08595,28241,Straight  Through Process,PD_DE,Married,Male,34,GRADUATE,OWNED-FLAT,CHENNAI,TAMIL NADU,600106,SALARIED,ERROR,91,35000,35000,10,Self Owned,REFRIGERATORS,WHIRLPOOL,REFRIGERATORS VANILLA,F,F,T,T,F,Approved
25253000560,SS48028,25253,Straight  Through Process,APRV,Married,Female,43,GRADUATE,OWNED-PENTHOUSE,TIRUPUR,TAMIL NADU,641603,SELF-EMPLOYED,ERROR,75,32321,100000,10,Spouse Owned,AIR CONDITIONER,LG,JS-Q12NRXA,F,F,F,T,F,Approved
25561000874,AT12212,25561,Straight  Through Process,PD_DE,Married,Male,51,UNDER GRADUATE,OWNED-PENTHOUSE,INDORE,MADHYA PRADESH,452010,SELF-EMPLOYED,ERROR,42,30000,30000,10,Self Owned,AIR CONDITIONER,HAIER,AIR CONDITIONER VANILLA,F,F,T,T,F,Approved
25436000823,MP09565,25436,Under.Writer,APRV,Married,Male,27,PROFESSIONAL,OWNED-ROWHOUSE,PONDICHERRY,TAMIL NADU,605008,SALARIED,Pan Not Submitted,50,32321,40000,12,Self Owned,PANEL - LED,HAIER,LE32M600,F,F,T,F,F,Approved
28365000012,KP77551,28365,Straight  Through Process,APRV,Single,Male,40,UNDER GRADUATE,OWNED-BUNGLOW,AHMEDABAD,GUJARAT,380001,SELF-EMPLOYED,ERROR,86,32321,52500,18,Parent Owned,AIR CONDITIONER,PANASONIC,CS/CU-US18SKY,F,F,F,T,F,Approved
25470000280,SG66121,25470,Straight  Through Process,APRV,Single,Male,25,GRADUATE,RENTED-ROWHOUSE,COIMBATORE,TAMIL NADU,641025,SALARIED,Pan Not Submitted,101,32321,25000,12,Self Owned,WM-SA,SAMSUNG,WT62H2210HV/TL,F,T,F,F,F,Approved
27851000163,PK79489,27851,Straight  Through Process,PD_DE,Married,Female,26,GRADUATE,PARENT OWNED-HOUSE,VIJAYAWADA,ANDHRA PRADESH,520013,SALARIED,ERROR,13,32321,40000,12,Parent Owned,SPLIT AC,LG,LSA24VTDH,F,F,T,T,F,Declined
27791000039,GS17495,27791,Straight  Through Process,PD_DE,Single,Male,24,GRADUATE,PARENT OWNED-HOUSE,RAIPUR,CHHATTISGARH,492001,SELF-EMPLOYED,Pan Not Submitted,13,40000,40000,12,Self Owned,AIR CONDITIONER,SAMSUNG,AR12JC3HATPNNA,F,F,T,F,F,Approved
28234000011,VK50931,28234,Straight  Through Process,APRV,Married,Male,31,GRADUATE,OWNED-ROWHOUSE,AHMEDABAD,GUJARAT,382443,SALARIED,ERROR,88,32321,43000,18,Parent Owned,AIR CONDITIONER,PANASONIC,S-48PBY1H59,F,F,F,T,F,Approved
26112000119,AP25235,26112,Straight  Through Process,APRV,Married,Male,37,GRADUATE,OWNED-FLAT,BHOPAL,MADHYA PRADESH,462022,SALARIED,ERROR,13,32321,37000,10,Self Owned,AIR CONDITIONER,LG,JS-Q18PWXA,F,F,T,T,F,Approved
27992000009,VB17765,27992,Under.Writer,PD_DE,Single,Male,30,GRADUATE,OWNED-ROWHOUSE,VEMBAKKAM,TAMIL NADU,603111,SALARIED,ERROR,114,32321,40000,10,Self Owned,AIR CONDITIONER,DAIKIN,DTF35RRV161/RFD35RRV161,T,F,T,T,F,Declined
28775000002,DP29428,28775,Straight  Through Process,APRV,Single,Male,38,GRADUATE,OWNED-PENTHOUSE,BILASPUR,CHHATTISGARH,495001,SELF-EMPLOYED,ERROR,58,32321,50000,12,Parent Owned,AIR CONDITIONER,SAMSUNG,AR24MV3HEWKNNA,F,F,T,T,F,Approved
25202000845,MV89179,25202,Straight  Through Process,DCLN,Single,Male,24,GRADUATE,RENTED-FLAT,SOMARASAMPETTAI,TAMIL NADU,620102,SALARIED,Pan Not Submitted,83,32321,25000,10,Self Owned,PANEL - LED,SAMSUNG,UA22F5100ARLXL,F,T,F,F,F,Declined
26047000112,SS65983,26047,Straight  Through Process,DCLN,Married,Male,45,GRADUATE,RENTED-BUNGLOW,HYDERABAD,TELANGANA,500059,SALARIED,ERROR,90,32321,20000,12,Self Owned,REF-FF,LG,GL-U372HPBL,F,F,T,T,F,Declined
25891000264,RA00676,25891,Under.Writer,APRV,Married,Female,27,OTHERS,OWNED-ROWHOUSE,CHENNAI,TAMIL NADU,600014,SALARIED,Pan Not Submitted,13,32321,30000,12,Self Owned,REF - DC,LG,GL-B221APAN,T,F,T,F,F,Approved
28615000004,VS20107,28615,Under.Writer,APRV,Married,Female,39,OTHERS,RENTED-ROWHOUSE,MAKKINAICKENPATTI,TAMIL NADU,642003,SELF-EMPLOYED,ERROR,33,32321,50000,12,Self Owned,SPLIT AC,LG,BSA18BEYD,F,F,T,T,F,Approved
26027000474,SC81994,26027,Straight  Through Process,PD_DE,Married,Male,25,GRADUATE,RENTED-FLAT,HYDERABAD,TELANGANA,500039,SALARIED,ERROR,13,20000,20000,12,Self Owned,REF - DC,LG,GL-D221ASDX,F,F,T,T,F,Approved
26743000122,MP24084,26743,Straight  Through Process,APRV,Single,Male,26,GRADUATE,PARENT OWNED-HOUSE,DAMARAPAKKAM,TAMIL NADU,632504,SALARIED,Pan Not Submitted,13,32321,25000,12,Parent Owned,PANEL - LED,MICROMAX,PANEL - LED VANILLA,T,F,T,F,F,Approved
25469000493,BS95393,25469,Straight  Through Process,APRV,Married,Male,37,GRADUATE,RENTED-PENTHOUSE,BHOPAL,MADHYA PRADESH,462003,SALARIED,Pan Not Submitted,134,32321,14900,10,Self Owned,TELEVISION,SONY,KLV-24P413D IN5,F,F,T,F,F,Approved
27068000178,DN30900,27068,Straight  Through Process,APRV,Married,Male,24,GRADUATE,OWNED-BUNGLOW,JAMNAGAR,GUJARAT,361001,SELF-EMPLOYED,Pan Not Submitted,13,32321,45000,10,Self Owned,AIR CONDITIONER,DAIKIN,FTKS50FVMA-RKS50FVMA,F,F,T,F,F,Approved
27929000013,GS48690,27929,Straight  Through Process,DCLN,Single,Male,22,UNDER GRADUATE,OWNED-FLAT,DELHI,DELHI,110033,SELF-EMPLOYED,Pan Not Submitted,13,32321,19000,12,Self Owned,REF-FF,LG,GL-I292RPZY,T,F,T,F,F,Declined
26561000305,VM30670,26561,Straight  Through Process,DCLN,Married,Female,35,GRADUATE,RENTED-ROWHOUSE,VIJAYAWADA,ANDHRA PRADESH,520007,SALARIED,Pan Not Submitted,58,32321,15000,12,Self Owned,REF - DC,SAMSUNG,RR19K273ZRZ/NL,F,F,T,F,F,Declined
26532000214,AK22774,26532,Under.Writer,PD_DE,Married,Female,35,GRADUATE,OWNED-BUNGLOW,INDORE,MADHYA PRADESH,452001,SELF-EMPLOYED,ERROR,33,32321,60000,12,Self Owned,REFRIGERATORS,WHIRLPOOL,NEO FR278 PRM NOVA STEEL 3S,F,T,F,T,F,Declined
26031000369,SB82026,26031,Straight  Through Process,DCLN,Married,Male,33,OTHERS,OWNED-FLAT,HYDERABAD,TELANGANA,500028,SALARIED,ERROR,54,32321,60000,12,Parent Owned,PANEL - LED,SONYNEW,KDL-43W800D IN5,F,F,T,T,F,Declined
26597000149,MR08670,26597,Under.Writer,DCLN,Single,Male,22,GRADUATE,RENTED-FLAT,CUDDALORE,TAMIL NADU,607003,SALARIED,Pan Not Submitted,13,32321,49000,12,Self Owned,PANEL - LED,SONYNEW,KDL-55W950A IN5,T,F,F,F,F,Declined
28479000012,JP01846,28479,Straight  Through Process,APRV,Married,Male,45,GRADUATE,OWNED-CHAWL,AHMEDABAD,GUJARAT,380013,SALARIED,ERROR,13,32321,46000,12,Self Owned,SPLIT AC,BLUESTAR,2HW12OC1,F,F,F,T,F,Approved
26563000966,CL31821,26563,Under.Writer,DCLN,Married,Male,32,GRADUATE,RENTED-ROWHOUSE,VISAKHAPATNAM,ANDHRA PRADESH,531163,SELF-EMPLOYED,ERROR,13,32321,39000,12,Self Owned,AIR CONDITIONER,LG,JS-Q12NRXA,F,F,T,T,F,Declined
26040000407,SL39173,26040,Straight  Through Process,PD_DE,Married,Male,31,GRADUATE,RENTED-BUNGLOW,HYDERABAD,TELANGANA,500074,SALARIED,ERROR,17,65000,65000,12,Self Owned,PANEL - SMARTLED,LG,49LH600T,F,F,T,T,F,Approved
26424000104,DB65191,26424,Under.Writer,DCLN,Married,Female,22,GRADUATE,OWNED-FLAT,KOLKATTA,WEST BENGAL,700053,SALARIED,ERROR,13,32321,29000,12,Self Owned,SPLIT AC,VOLTAS,123 CYe,F,F,F,T,F,Declined
26043000242,RM54391,26043,Under.Writer,DCLN,Married,Male,43,GRADUATE,RENTED-BUNGLOW,HYDERABAD,TELANGANA,500013,SALARIED,ERROR,13,32321,30000,10,Self Owned,REFRIGERATORS,WHIRLPOOL,215 ICEMAGIC ROY 4S WINE EXOTICA,T,F,T,T,F,Declined
25404001545,RP95244,25404,Straight  Through Process,DCLN,Married,Male,37,GRADUATE,OWNED-ROWHOUSE,CHENNAI,TAMIL NADU,600045,SALARIED,ERROR,21,32321,20000,10,Self Owned,WASHING MACHINE,WHIRLPOOL,ACE 8.2 TURBO DRY  FLORAL PURPLE,T,F,F,T,F,Declined
26028000635,VB17665,26028,Straight  Through Process,DCLN,Married,Male,50,GRADUATE,RENTED-BUNGLOW,HYDERABAD,TELANGANA,500056,SALARIED,ERROR,6,32321,50000,10,Self Owned,PANEL - SMARTLED,LG,43LH600T,F,F,T,T,F,Declined
26429000107,UG62240,26429,Straight  Through Process,APRV,Married,Male,33,GRADUATE,RENTED-FLAT,KOLKATTA,WEST BENGAL,700094,SELF-EMPLOYED,ERROR,100,32321,15000,12,Self Owned,REF - DC,GODREJ,RD EdgePro 190CT 5.2 LUSH Win,F,F,F,T,F,Approved
26044000234,PM13011,26044,Straight  Through Process,APRV,Married,Male,44,OTHERS,OWNED-ROWHOUSE,HYDERABAD,TELANGANA,500055,PARTNERSHIP,ERROR,60,32321,30000,18,Spouse Owned,REF - DC,LG,GL-195RLGE4,F,F,T,T,F,Approved
27475000008,JK20802,27475,Under.Writer,PD_DE,Married,Male,35,OTHERS,OWNED-BUNGLOW,RAJKOT,GUJARAT,360001,SELF-EMPLOYED,ERROR,13,32321,25000,10,Self Owned,REF-FF HOME,SAMSUNG,RT28K3083S9/NL,F,F,T,T,F,Declined
27245000052,MK92016,27245,Straight  Through Process,PD_DE,Married,Male,30,OTHERS,RENTED-FLAT,PUNE,MAHARASHTRA,411014,SELF-EMPLOYED,ERROR,115,50000,50000,18,Self Owned,PANEL - LED,PHILIPS,32PFL5270,F,F,F,T,F,Approved
26021000547,RT24634,26021,Straight  Through Process,PD_DE,Married,Male,26,OTHERS,RENTED-BUNGLOW,HYDERABAD,TELANGANA,500035,SALARIED,ERROR,73,35000,35000,12,Self Owned,AIR CONDITIONER,SAMSUNG,AR12JC3HATPNNA,F,F,T,T,F,Approved
26045000032,JM74890,26045,Under.Writer,APRV,Single,Male,24,POST-GRADUATE,RENTED-FLAT,HYDERABAD,TELANGANA,500050,SALARIED,ERROR,44,32321,40000,12,Self Owned,REF - DC,GODREJ,RD EdgePro 190CT 5.2INDIGOFLOR,F,F,T,T,F,Approved
25840000297,D08219,25840,Straight  Through Process,PD_DE,Married,Male,44,UNDER GRADUATE,OWNED-ROWHOUSE,COIMBATORE,TAMIL NADU,641010,SELF-EMPLOYED,ERROR,13,50000,50000,10,Self Owned,AIR CONDITIONER,LLOYD,LS13A3LX 3 STAR 1.0 TON,F,F,F,T,F,Approved
25688000151,RP65251,25688,Straight  Through Process,APRV,Single,Male,25,GRADUATE,PARENT OWNED-HOUSE,KOLKATTA,WEST BENGAL,700054,SALARIED,ERROR,13,32321,31000,12,Parent Owned,REF-FF,LG,GL-U372HPBL,F,F,T,T,F,Approved
27992000008,VB17765,27992,Straight  Through Process,PD_DE,Single,Male,30,GRADUATE,OWNED-ROWHOUSE,VEMBAKKAM,TAMIL NADU,603111,PRIVATE LIMITED COMPANY,ERROR,114,32321,40000,10,Self Owned,AIR CONDITIONER,DAIKIN,DTF35RRV161/RFD35RRV161,T,F,T,T,F,Declined
25835000138,SG65293,25835,Under.Writer,DCLN,Married,Male,34,GRADUATE,RENTED-PENTHOUSE,COIMBATORE,TAMIL NADU,641024,SELF-EMPLOYED,ERROR,112,32321,50000,12,Self Owned,FLWM,LG,FH0B8NDL22,F,F,T,T,F,Declined
25561000873,AT12212,25561,Straight  Through Process,APRV,Single,Male,27,UNDER GRADUATE,RENTED-PENTHOUSE,INDORE,MADHYA PRADESH,452010,SALARIED,ERROR,13,32321,20000,10,Self Owned,PANEL - LED,LG,24LB452A,F,F,T,T,F,Approved
27230000032,NM51729,27230,Straight  Through Process,PD_DE,Married,Male,28,UNDER GRADUATE,OWNED-BUNGLOW,PUNE,MAHARASHTRA,411041,SALARIED,Pan Not Submitted,-2,32321,20000,12,Parent Owned,REF - DC,SAMSUNG,RR19M1823RZ/HL,F,F,T,F,F,Declined
26033000298,SK70341,26033,Straight  Through Process,PD_DE,Married,Male,25,GRADUATE,PARENT OWNED-HOUSE,HYDERABAD,TELANGANA,500058,SALARIED,ERROR,13,25000,25000,12,Parent Owned,REF-FF,LG,GL-Q282SPZL,F,T,T,T,F,Approved
25543000506,GN25316,25543,Straight  Through Process,PD_DE,Married,Female,43,UNDER GRADUATE,OWNED-ROWHOUSE,COIMBATORE,TAMIL NADU,641021,SELF-EMPLOYED,Pan Not Submitted,84,15000,15000,10,Self Owned,WASHING MACHINE,GODREJ,WS EDGEPRO 800CS Lilac Sprinkle,F,F,T,F,F,Approved
25149000215,YG17827,25149,Straight  Through Process,PD_DE,Single,Male,24,GRADUATE,OWNED-FLAT,MADURAI,TAMIL NADU,625016,SALARIED,Pan Not Submitted,92,16000,16000,10,Self Owned,REFRIGERATORS,WHIRLPOOL,200 GENIUS CLS PLUS 4S WINE FIESTA,T,T,F,F,F,Approved
25696000162,SJ88984,25696,Straight  Through Process,APRV,Married,Male,29,GRADUATE,OWNED-PENTHOUSE,KOLKATTA,WEST BENGAL,700054,SELF-EMPLOYED,ERROR,13,32321,30000,10,Self Owned,REF-FF HOME,SAMSUNG,RT30K3723S8/HL,F,F,F,T,F,Approved
26557000524,CK24399,26557,Straight  Through Process,DCLN,Married,Male,26,UNDER GRADUATE,RENTED-ROWHOUSE,VIJAYAWADA,ANDHRA PRADESH,520012,SELF-EMPLOYED,ERROR,79,32321,20000,12,Self Owned,TELEVISION,MICROMAX,43A7200MHD 43   LED,F,F,T,T,F,Declined
26022000595,MM82225,26022,Under.Writer,DCLN,Married,Male,30,POST-GRADUATE,RENTED-FLAT,HYDERABAD,TELANGANA,500018,SALARIED,ERROR,13,32321,30000,10,Self Owned,REFRIGERATORS,WHIRLPOOL,NEO IF305 ELT STEEL REGALIA 3S,F,F,F,T,F,Declined
25203000657,JH81613,25203,Under.Writer,DCLN,Single,Male,22,GRADUATE,RENTED-FLAT,TRICHY,TAMIL NADU,620017,SALARIED,ERROR,13,32321,30000,12,Self Owned,REFRIGERATORS,WHIRLPOOL,REFRIGERATORS VANILLA,F,F,T,T,F,Declined
26058000239,BS74330,26058,Straight  Through Process,APRV,Married,Male,26,GRADUATE,OWNED-BUNGLOW,VADODARA,GUJARAT,390021,SALARIED,Pan Not Submitted,72,32321,30000,12,Self Owned,PANEL - LED,SAMSUNG,UA32K4000ARLXL,F,F,T,F,F,Approved
25694000137,AM31231,25694,Straight  Through Process,DCLN,Married,Male,59,GRADUATE,OWNED-PENTHOUSE,KOLKATTA,WEST BENGAL,700010,SALARIED,ERROR,13,32321,40000,12,Self Owned,REFRIGERATORS,GODREJ,RD EdgePro 190PDS5.2WINEFLORET,F,F,F,T,F,Declined
26532000213,AK22774,26532,Straight  Through Process,APRV,Married,Male,50,GRADUATE,OWNED-BUNGLOW,INDORE,MADHYA PRADESH,452015,SELF-EMPLOYED,ERROR,111,32321,20000,12,Self Owned,REF-BMR,HAIER,HRB-3654PSL-R,F,F,T,T,F,Approved
27772000223,PV31200,27772,Straight  Through Process,DCLN,Married,Male,48,OTHERS,OWNED-FLAT,PUDUKKOTTAI TVL,TAMIL NADU,628103,SALARIED,Pan Not Submitted,47,32321,60000,10,Self Owned,PANEL - LED,SAMSUNG,UA43KU6000KMXL,F,F,T,F,F,Declined
25150001260,KM99969,25150,Straight  Through Process,PD_DE,Married,Male,45,POST-GRADUATE,OWNED-FLAT,MADURAI,TAMIL NADU,625016,SALARIED,ERROR,91,35000,35000,10,Self Owned,AIR CONDITIONER,LG,JS-Q12NRXA,F,F,F,T,F,Approved
26804000030,SB44646,26804,Straight  Through Process,APRV,Married,Male,32,GRADUATE,OWNED-CHAWL,KOLKATTA,WEST BENGAL,700066,SELF-EMPLOYED,ERROR,13,32321,36000,12,Self Owned,AIR CONDITIONER,DAIKIN,FTC42RRV162/RC42RRV162,T,F,F,T,F,Approved
27050000042,RC11848,27050,Straight  Through Process,APRV,Married,Male,32,GRADUATE,PARENT OWNED-HOUSE,JAMNAGAR,GUJARAT,361001,SELF-EMPLOYED,ERROR,13,32321,100000,18,Parent Owned,PANEL - ULTRA HD,LG,49UH850T,F,F,F,T,F,Approved
25882000006,VK44034,25882,Straight  Through Process,APRV,Married,Female,24,GRADUATE,PARENT OWNED-HOUSE,INDORE,MADHYA PRADESH,452001,SELF-EMPLOYED,Pan Not Submitted,13,32321,18000,20,Parent Owned,REF - DC,LG,GL-B201ASAW,F,F,T,F,F,Approved
27889000035,NG82378,27889,Straight  Through Process,PD_DE,Married,Male,30,UNDER GRADUATE,RENTED-FLAT,BANGALORE,KARNATAKA,560076,SALARIED,Pan Not Submitted,68,32321,15500,12,Self Owned,REFRIGERATORS,WHIRLPOOL,215 ICEMAG ROY 4S SAPPHIRE EXOTICA,F,T,F,F,F,Declined
27775000027,RC70502,27775,Under.Writer,DCLN,Married,Male,37,OTHERS,OWNED-FLAT,MELUR - TUTICORIN,TAMIL NADU,628002,SELF-EMPLOYED,ERROR,13,32321,64000,10,Self Owned,PANEL - LED,SONY,KLV-40W562D,F,T,F,T,T,Declined
25145000425,RN09496,25145,Under.Writer,DCLN,Single,Male,23,OTHERS,OWNED-FLAT,MADURAI,TAMIL NADU,625011,SELF-EMPLOYED,Pan Not Submitted,13,32321,20000,18,Self Owned,REF-FF,LG,GL-U372HPBL,F,F,T,F,F,Declined
26563000965,AN31832,26563,Under.Writer,DCLN,Single,Male,23,GRADUATE,RENTED-ROWHOUSE,VISAKHAPATNAM,ANDHRA PRADESH,530017,SELF-EMPLOYED,ERROR,13,32321,15000,12,Self Owned,WASHING MACHINE,SAMSUNG,WA62K4000HD-TL 6.2 KG,F,F,T,T,F,Declined
26597000148,MR08670,26597,Straight  Through Process,DCLN,Married,Male,33,GRADUATE,PARENT OWNED-HOUSE,VANDIPALIYAM,TAMIL NADU,607004,SALARIED,Pan Not Submitted,33,32321,30500,12,Self Owned,PANEL - LED,LG,49LB5510,F,F,T,F,T,Declined
25253000559,SS48028,25253,Straight  Through Process,PD_DE,Married,Male,52,GRADUATE,OWNED-PENTHOUSE,TIRUPUR,TAMIL NADU,641603,SELF-EMPLOYED,ERROR,47,32321,100000,10,Self Owned,AIR CONDITIONER,LG,JS-Q18NPXA,F,T,F,T,F,Declined
25882000005,VK44034,25882,Straight  Through Process,PD_DE,Married,Male,27,GRADUATE,PARENT OWNED-HOUSE,INDORE,MADHYA PRADESH,452001,SALARIED,ERROR,53,32321,18000,20,Self Owned,REF - DC,LG,GL-B201ASAW,F,F,T,T,F,Declined
26688000015,DM84507,26688,Straight  Through Process,APRV,Married,Male,48,GRADUATE,OWNED-FLAT,KOLKATTA,WEST BENGAL,700017,SELF-EMPLOYED,ERROR,13,32321,50000,12,Self Owned,REF-FF,LG,GL-U402JHSL,F,F,T,T,F,Approved
27551000135,VM81969,27551,Straight  Through Process,PD_DE,Married,Male,48,GRADUATE,OWNED-ROWHOUSE,HYDERABAD,TELANGANA,500008,SELF-EMPLOYED,ERROR,13,40000,40000,18,Self Owned,AIR CONDITIONER,LG,JS-Q18NPXA,F,F,T,T,F,Approved
